Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
7/6/2016,18,12,4,72,0
8/6/2016,22,13,90,301,0
9/6/2016,45,11,26,300,0
10/6/2016,45,14,59,235,0
11/6/2016,36,13,2,72,0
12/6/2016,38,18,69,8,0
13/06/2016,15,13,86,226,0
14/06/2016,9,18,97,232,0
15/06/2016,9,18,2,190,0
16/06/2016,43,12,60,198,0
17/06/2016,42,11,40,26,0
18/06/2016,17,18,72,358,0
19/06/2016,45,11,20,68,0
20/06/2016,18,18,69,357,0
21/06/2016,36,14,71,170,0
22/06/2016,39,12,48,55,0
23/06/2016,32,17,81,225,0
24/06/2016,22,15,67,118,0
25/06/2016,35,15,53,359,0
26/06/2016,39,17,68,16,0
27/06/2016,44,11,100,134,0
28/06/2016,42,13,32,206,0
29/06/2016,21,18,44,259,0
30/06/2016,23,10,98,181,0
1/7/2016,38,19,33,204,0
2/7/2016,15,18,64,186,0
3/7/2016,44,15,1,162,0
4/7/2016,11,17,52,325,0
5/7/2016,9,13,59,206,0
6/7/2016,30,11,22,106,0
7/7/2016,37,19,41,154,0
8/7/2016,26,20,8,338,0
9/7/2016,21,19,67,255,0
10/7/2016,35,19,43,264,0
11/7/2016,39,19,14,217,0
12/7/2016,42,20,28,3,0
13/07/2016,35,20,87,226,0
14/07/2016,16,17,61,301,0
15/07/2016,9,16,60,23,0
16/07/2016,23,20,62,82,0
17/07/2016,35,17,86,252,0
18/07/2016,34,10,24,39,0
19/07/2016,9,15,20,196,0
20/07/2016,41,12,86,332,0
21/07/2016,24,11,34,242,0
22/07/2016,38,13,1,81,0
23/07/2016,27,11,95,352,0
24/07/2016,19,13,55,211,0
25/07/2016,14,19,17,163,0
26/07/2016,40,19,67,92,0
27/07/2016,37,13,78,118,0
28/07/2016,15,11,26,319,0
29/07/2016,16,10,33,164,0
30/07/2016,34,17,77,272,0
31/07/2016,20,16,43,60,0
1/8/2016,12,19,90,85,0
2/8/2016,41,10,3,60,0
3/8/2016,13,15,72,151,0
4/8/2016,34,16,80,204,0
5/8/2016,19,20,76,203,0
6/8/2016,15,19,86,44,0
7/8/2016,40,15,78,93,0
8/8/2016,17,12,71,117,0
9/8/2016,38,17,34,63,0
10/8/2016,14,13,81,165,0
11/8/2016,45,16,37,149,0
12/8/2016,12,14,71,158,0
13/08/2016,36,11,13,138,0
14/08/2016,36,15,8,50,0
15/08/2016,42,11,65,156,0
16/08/2016,33,16,34,68,0
17/08/2016,30,13,95,63,0
18/08/2016,44,19,8,87,0
19/08/2016,38,10,74,235,0
20/08/2016,43,19,53,190,0
21/08/2016,31,12,48,181,0
22/08/2016,41,13,68,15,0
23/08/2016,20,13,95,88,0
24/08/2016,44,12,3,157,0
25/08/2016,35,17,27,95,0
26/08/2016,26,12,84,298,0
27/08/2016,30,10,12,72,0
28/08/2016,27,15,59,176,0
29/08/2016,32,17,91,124,0
30/08/2016,21,11,46,281,0
31/08/2016,34,13,73,70,0
1/9/2016,19,19,94,321,0
2/9/2016,13,16,69,181,0
3/9/2016,32,16,47,302,0
4/9/2016,11,10,94,234,0
5/9/2016,35,20,23,242,0
6/9/2016,18,17,51,353,0
7/9/2016,35,20,9,295,0
