Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
6/7/2016,5,76,35,82,62,4,81,64
7/7/2016,5,79,60,50,4,82,35,99
8/7/2016,4,74,92,49,74,75,93,49
9/7/2016,4,31,99,88,2,51,92,45
10/7/2016,3,56,57,62,6,24,14,72
11/7/2016,7,21,32,79,61,42,68,27
12/7/2016,2,34,50,28,8,60,39,74
13/7/2016,1,87,64,6,76,23,45,68
14/7/2016,3,41,95,79,76,13,56,93
15/7/2016,3,88,88,93,10,23,78,63
16/7/2016,6,64,59,64,74,26,99,80
17/7/2016,4,60,41,38,73,60,84,68
18/7/2016,10,84,81,41,46,8,19,89
19/7/2016,5,45,3,94,90,67,81,8
20/7/2016,9,36,2,90,82,67,33,74
21/7/2016,9,51,75,88,43,71,75,25
22/7/2016,5,14,64,88,53,33,88,23
23/7/2016,6,56,44,79,37,1,70,1
24/7/2016,3,30,84,3,26,59,43,20
25/7/2016,3,20,20,72,86,90,82,94
26/7/2016,5,35,80,31,71,44,79,23
27/7/2016,4,66,41,16,73,64,95,94
28/7/2016,7,92,41,62,83,56,59,34
29/7/2016,5,34,81,60,38,30,31,46
30/7/2016,10,84,61,57,38,51,66,89
31/7/2016,5,39,2,66,24,33,17,25
1/8/2016,3,4,99,11,22,47,42,75
2/8/2016,8,40,67,47,47,3,31,87
3/8/2016,9,54,66,7,16,66,67,58
4/8/2016,8,66,93,17,54,7,77,85
5/8/2016,3,60,68,49,7,3,94,92
6/8/2016,5,30,18,25,74,80,81,3
7/8/2016,4,94,49,57,71,35,10,70
8/8/2016,6,27,16,24,54,22,98,58
9/8/2016,3,26,14,24,48,73,50,91
10/8/2016,4,98,12,40,60,12,40,15
11/8/2016,6,14,89,27,41,88,40,95
12/8/2016,5,69,21,57,47,95,6,96
13/8/2016,9,92,25,88,77,52,87,27
14/8/2016,1,36,15,54,85,12,7,48
15/8/2016,3,78,1,91,28,75,32,56
16/8/2016,7,80,73,6,53,88,90,57
17/8/2016,6,86,39,74,47,40,16,29
18/8/2016,1,73,13,8,70,94,86,1
19/8/2016,1,67,78,64,6,19,20,20
20/8/2016,3,79,33,65,29,24,37,60
21/8/2016,7,42,76,39,60,92,25,4
22/8/2016,1,50,34,34,1,18,82,47
23/8/2016,1,49,47,28,73,64,75,57
24/8/2016,4,62,79,33,36,66,32,20
25/8/2016,1,99,97,11,73,90,50,24
26/8/2016,4,2,29,24,73,14,16,57
27/8/2016,1,56,77,31,86,69,2,53
28/8/2016,1,17,55,51,16,73,39,63
29/8/2016,7,27,79,70,63,84,55,75
30/8/2016,3,9,21,87,39,8,75,11
31/8/2016,7,34,57,61,40,61,32,92
1/9/2016,6,83,56,29,9,66,68,16
2/9/2016,10,93,84,80,30,20,11,52
3/9/2016,4,82,39,39,74,43,19,46
4/9/2016,5,13,33,66,19,41,11,22
5/9/2016,3,65,49,90,6,87,53,31
6/9/2016,8,31,79,78,91,39,80,59
7/9/2016,2,19,4,58,30,44,57,66
8/9/2016,1,36,99,94,89,78,34,84
9/9/2016,6,31,78,68,28,90,22,88
10/9/2016,9,30,58,70,17,47,45,24
11/9/2016,2,50,23,82,99,15,41,54
12/9/2016,7,70,49,29,19,64,68,100
13/9/2016,4,32,1,15,49,59,59,98
14/9/2016,6,34,73,72,86,75,3,35
15/9/2016,8,3,46,67,29,63,75,89
16/9/2016,6,68,67,16,92,14,53,3
17/9/2016,9,55,32,74,93,2,7,89
18/9/2016,8,82,95,100,49,85,65,44
19/9/2016,8,15,39,35,78,7,90,41
20/9/2016,10,77,14,5,31,88,72,62
21/9/2016,2,95,32,40,27,99,25,15
22/9/2016,3,35,39,13,2,36,100,8
23/9/2016,9,41,41,84,81,70,80,77
24/9/2016,2,16,10,36,82,43,45,96
25/9/2016,9,94,62,25,39,44,14,82
26/9/2016,8,3,71,95,99,87,92,16
27/9/2016,3,16,97,47,57,96,23,79
28/9/2016,4,30,92,51,91,85,93,65
29/9/2016,2,5,95,1,33,99,30,76
30/9/2016,2,82,55,76,76,81,14,30
1/10/2016,6,8,17,33,15,92,1,73
2/10/2016,9,99,8,32,54,58,68,83
3/10/2016,9,10,33,70,58,56,75,87
4/10/2016,2,55,56,14,64,1,93,80
5/10/2016,10,83,7,42,93,71,30,1
6/10/2016,8,54,44,28,40,8,76,70
7/10/2016,7,70,58,44,43,57,72,87
8/10/2016,1,8,72,97,17,72,13,32
9/10/2016,7,83,21,15,12,55,6,33
10/10/2016,9,43,63,40,60,94,41,15
11/10/2016,6,69,24,98,77,97,24,28
12/10/2016,5,94,32,63,28,73,89,31
13/10/2016,6,31,51,85,30,74,2,47
14/10/2016,3,10,6,27,72,15,88,100
15/10/2016,8,35,89,90,7,64,11,53
16/10/2016,2,3,50,51,7,59,93,40
17/10/2016,1,78,26,34,42,99,69,86
18/10/2016,2,9,15,99,18,76,36,15
19/10/2016,8,53,6,31,73,40,1,83
20/10/2016,7,70,82,50,62,34,67,95
21/10/2016,9,3,56,33,97,49,39,81
22/10/2016,10,84,32,84,77,75,54,1
23/10/2016,10,31,67,16,82,56,66,59
24/10/2016,5,50,55,73,37,29,63,81
25/10/2016,4,17,36,50,74,96,39,40
26/10/2016,10,24,40,35,96,54,31,82
27/10/2016,3,39,32,79,37,72,51,98
28/10/2016,5,88,5,13,21,33,6,37
29/10/2016,3,89,9,72,21,86,85,43
30/10/2016,8,72,78,40,97,80,16,49
31/10/2016,7,59,15,20,11,30,8,33
1/11/2016,8,2,63,62,59,73,94,18
2/11/2016,1,33,25,91,32,35,3,3
3/11/2016,5,3,52,83,32,42,92,68
4/11/2016,9,81,39,38,19,95,94,83
5/11/2016,1,81,15,54,27,22,75,13
6/11/2016,2,93,45,22,29,39,66,50
7/11/2016,9,81,33,6,89,96,49,61
8/11/2016,8,49,74,45,94,63,89,65
9/11/2016,2,77,19,27,7,79,6,74
10/11/2016,6,96,22,89,81,16,17,74
11/11/2016,2,85,53,58,51,21,38,7
12/11/2016,10,95,73,86,86,51,50,99
13/11/2016,2,39,18,84,49,78,48,91
14/11/2016,5,71,27,56,93,52,84,79
15/11/2016,8,10,30,56,69,43,66,44
16/11/2016,9,20,48,16,1,45,45,37
17/11/2016,1,59,18,53,72,98,80,39
18/11/2016,1,87,66,40,49,16,15,98
19/11/2016,5,51,16,62,15,4,42,59
20/11/2016,8,93,97,63,88,26,96,46
21/11/2016,4,67,91,21,68,92,71,11
22/11/2016,2,31,21,34,86,34,79,78
23/11/2016,10,50,37,51,53,43,11,59
24/11/2016,5,73,18,83,20,92,32,4
25/11/2016,7,55,43,64,24,41,30,100
26/11/2016,10,56,85,26,36,74,92,6
27/11/2016,3,74,4,51,100,61,59,47
28/11/2016,7,98,81,72,63,69,53,53
29/11/2016,10,6,31,89,30,36,6,26
30/11/2016,10,88,7,91,5,86,92,75
1/12/2016,7,70,77,53,36,95,89,74
2/12/2016,10,59,37,36,96,3,29,4
3/12/2016,3,95,43,84,99,41,44,54
4/12/2016,10,12,79,55,3,77,93,74
5/12/2016,2,29,15,96,20,30,56,95
6/12/2016,2,22,71,81,28,51,63,75
7/12/2016,3,32,99,82,34,79,33,57
8/12/2016,2,22,8,54,63,81,36,52
9/12/2016,7,94,68,65,69,10,89,13
10/12/2016,10,48,87,19,40,7,97,36
11/12/2016,8,70,43,7,10,80,74,94
12/12/2016,7,15,5,59,61,42,45,80
13/12/2016,4,33,50,91,12,44,76,82
14/12/2016,7,65,85,23,4,21,84,11
15/12/2016,1,19,34,95,94,97,69,23
16/12/2016,1,90,13,91,62,37,92,66
17/12/2016,4,78,61,76,40,14,32,41
18/12/2016,5,77,37,89,13,48,75,53
19/12/2016,5,52,64,14,29,86,97,68
20/12/2016,4,41,75,25,21,80,89,28
21/12/2016,1,33,40,14,25,53,25,86
22/12/2016,8,76,54,78,25,61,85,27
23/12/2016,4,24,88,14,100,27,35,69
24/12/2016,9,52,34,39,90,50,37,12
25/12/2016,8,13,92,71,27,65,87,84
26/12/2016,2,12,28,74,9,44,20,95
27/12/2016,6,65,70,65,65,14,95,47
28/12/2016,7,4,37,60,47,17,42,98
29/12/2016,7,79,49,94,54,59,19,10
30/12/2016,9,76,93,31,4,44,55,76
31/12/2016,7,36,81,73,51,40,85,32
1/1/2017,2,94,4,31,90,99,97,38
2/1/2017,6,66,54,18,15,50,62,23
3/1/2017,4,60,44,53,90,47,65,17
4/1/2017,4,86,63,49,79,3,69,60
5/1/2017,2,3,94,6,14,27,45,25
6/1/2017,7,75,38,34,84,31,74,17
7/1/2017,4,78,8,7,86,21,9,38
8/1/2017,3,26,40,27,96,17,26,13
9/1/2017,8,71,45,41,2,44,3,27
10/1/2017,8,58,17,31,68,31,27,40
11/1/2017,10,52,54,52,10,8,4,16
12/1/2017,6,4,89,45,6,95,33,100
13/1/2017,7,24,38,78,51,46,98,7
14/1/2017,2,3,67,54,20,60,6,46
15/1/2017,10,1,44,39,28,8,14,7
16/1/2017,1,59,92,80,49,57,59,89
17/1/2017,2,100,92,7,7,99,90,41
18/1/2017,4,86,35,85,19,52,83,15
19/1/2017,2,29,77,7,54,75,97,17
20/1/2017,7,61,62,83,53,37,46,6
21/1/2017,10,42,53,28,92,27,46,82
22/1/2017,7,35,1,14,64,52,7,38
23/1/2017,3,29,28,73,4,48,40,85
24/1/2017,7,23,66,74,61,20,6,100
25/1/2017,9,67,24,80,51,70,62,12
26/1/2017,5,67,68,95,33,10,78,73
27/1/2017,9,78,63,82,32,58,87,86
28/1/2017,4,85,44,50,41,89,40,42
29/1/2017,2,58,84,86,67,35,54,47
30/1/2017,8,14,29,40,72,50,65,42
31/1/2017,1,76,97,79,40,91,75,8
1/2/2017,6,86,14,67,68,35,67,70
2/2/2017,2,31,57,88,19,34,85,63
3/2/2017,1,8,22,39,64,5,54,41
4/2/2017,9,59,35,80,43,69,62,73
5/2/2017,10,82,75,4,49,35,44,90
6/2/2017,1,88,100,58,13,27,40,55
7/2/2017,10,64,92,52,64,83,37,20
8/2/2017,7,12,68,13,97,55,86,81
9/2/2017,7,62,25,40,58,87,3,36
10/2/2017,7,62,100,53,45,65,3,65
11/2/2017,2,93,49,41,78,78,15,6
12/2/2017,5,51,68,7,74,19,80,35
13/2/2017,3,79,22,31,70,33,78,57
14/2/2017,4,59,78,96,2,90,86,32
15/2/2017,5,65,28,3,80,2,44,63
