Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
6/7/2016,17,8,1,2,8,4,20,10
7/7/2016,16,5,9,17,16,1,11,4
8/7/2016,2,12,17,4,15,2,9,16
9/7/2016,5,13,6,5,18,8,3,16
10/7/2016,11,20,7,8,17,2,3,11
11/7/2016,3,15,15,1,14,14,5,14
12/7/2016,16,10,7,2,12,17,6,4
13/7/2016,3,9,2,13,4,3,8,20
14/7/2016,7,10,12,1,19,11,15,5
15/7/2016,4,17,18,2,6,8,3,13
16/7/2016,18,16,8,2,15,9,13,19
17/7/2016,18,19,19,3,16,6,14,7
18/7/2016,8,6,13,17,18,8,13,20
19/7/2016,8,11,7,12,10,2,0,3
20/7/2016,1,4,10,13,19,6,12,3
21/7/2016,4,7,19,17,11,1,4,4
22/7/2016,18,4,4,16,1,1,5,0
23/7/2016,20,20,0,13,4,5,3,6
24/7/2016,3,6,19,8,2,13,14,9
25/7/2016,6,14,5,9,7,4,4,11
26/7/2016,11,1,20,16,13,1,12,18
27/7/2016,15,1,8,1,9,2,0,7
28/7/2016,17,1,8,4,11,4,16,20
29/7/2016,15,4,13,4,11,2,7,4
30/7/2016,18,20,4,9,13,2,16,12
31/7/2016,20,17,18,0,20,3,1,2
1/8/2016,10,3,3,11,16,8,19,12
2/8/2016,17,9,2,10,13,17,8,19
3/8/2016,20,16,14,7,8,1,14,3
4/8/2016,1,19,1,0,2,10,15,6
5/8/2016,15,20,16,8,17,12,8,2
6/8/2016,5,4,4,12,5,8,18,19
7/8/2016,10,6,17,17,18,10,0,8
8/8/2016,4,6,17,10,0,4,5,15
9/8/2016,10,11,10,5,13,1,18,11
10/8/2016,2,15,0,19,16,20,3,0
11/8/2016,15,14,15,4,1,12,17,9
12/8/2016,2,16,10,3,2,6,11,4
13/8/2016,10,3,0,19,7,1,9,15
14/8/2016,2,5,7,13,12,8,2,3
15/8/2016,14,2,7,6,17,0,16,6
16/8/2016,13,4,6,16,14,7,6,10
17/8/2016,7,8,13,17,17,14,4,3
18/8/2016,18,6,17,7,16,10,20,17
19/8/2016,16,19,19,4,9,4,17,2
20/8/2016,8,8,4,15,11,1,12,19
21/8/2016,11,4,14,4,6,20,1,16
22/8/2016,20,6,10,11,12,15,4,9
23/8/2016,7,7,9,20,7,19,20,6
24/8/2016,18,16,13,9,11,4,9,4
25/8/2016,18,17,1,10,3,4,0,19
26/8/2016,6,11,15,2,2,16,1,4
27/8/2016,9,14,6,18,17,2,4,5
28/8/2016,15,16,10,4,9,20,11,17
29/8/2016,13,10,6,19,2,5,18,18
30/8/2016,6,18,12,1,6,9,16,4
31/8/2016,5,8,6,2,10,11,10,4
1/9/2016,9,1,2,3,9,12,0,14
2/9/2016,3,14,14,16,3,18,4,16
3/9/2016,13,15,15,17,11,2,14,18
4/9/2016,2,2,0,4,17,2,4,12
5/9/2016,15,0,19,10,8,4,8,11
6/9/2016,18,0,16,0,3,8,12,17
7/9/2016,15,17,20,3,11,9,8,18
8/9/2016,19,18,3,16,12,7,0,15
9/9/2016,18,8,1,9,0,0,15,5
10/9/2016,11,19,14,4,16,10,12,16
11/9/2016,13,9,19,7,3,15,16,3
12/9/2016,2,12,2,12,19,9,8,20
13/9/2016,9,17,2,17,19,18,17,20
14/9/2016,4,0,0,12,13,1,19,4
15/9/2016,20,19,0,5,11,7,12,1
16/9/2016,8,19,4,11,19,11,10,15
17/9/2016,3,14,20,13,17,11,12,18
18/9/2016,13,12,1,3,2,12,17,2
19/9/2016,6,17,6,5,3,20,7,7
20/9/2016,16,6,18,5,9,12,16,3
21/9/2016,10,15,15,3,11,16,20,1
22/9/2016,20,16,19,10,5,4,6,3
23/9/2016,7,0,5,13,11,18,3,14
24/9/2016,6,14,8,15,9,16,16,10
25/9/2016,3,5,18,1,5,8,18,19
26/9/2016,7,6,0,1,17,1,2,12
27/9/2016,9,20,9,9,2,11,5,13
28/9/2016,6,4,0,16,8,16,18,18
29/9/2016,2,20,15,8,9,20,10,19
30/9/2016,16,5,3,20,5,9,3,18
1/10/2016,4,17,0,15,19,18,14,10
2/10/2016,4,6,15,10,16,12,18,10
3/10/2016,7,11,12,1,6,17,3,11
4/10/2016,8,14,8,12,13,14,2,0
5/10/2016,2,18,14,12,12,13,17,19
6/10/2016,12,8,2,13,15,4,9,3
7/10/2016,2,5,1,0,1,12,14,18
8/10/2016,19,14,19,16,3,5,19,18
9/10/2016,5,8,8,15,12,0,16,20
10/10/2016,16,7,10,8,7,3,10,19
11/10/2016,2,2,17,19,14,5,18,12
12/10/2016,0,12,1,5,9,2,3,6
13/10/2016,5,20,11,17,3,8,12,6
14/10/2016,8,19,19,17,4,12,3,11
15/10/2016,9,19,18,7,4,4,5,17
16/10/2016,5,2,13,15,7,8,15,4
17/10/2016,19,12,19,17,7,12,9,13
18/10/2016,14,6,17,20,17,18,15,8
19/10/2016,15,12,18,15,1,4,0,15
20/10/2016,9,8,10,20,17,7,16,11
21/10/2016,17,8,18,11,13,8,12,18
22/10/2016,4,1,3,1,13,2,10,18
23/10/2016,0,4,14,12,0,3,17,17
24/10/2016,17,7,17,20,11,9,12,4
25/10/2016,6,14,17,12,20,11,10,8
26/10/2016,18,14,4,12,4,2,10,17
27/10/2016,6,13,14,4,19,12,16,9
28/10/2016,16,16,0,5,8,4,18,13
29/10/2016,7,2,4,15,9,11,9,0
30/10/2016,11,19,1,15,10,9,12,13
31/10/2016,1,3,17,5,18,11,3,2
1/11/2016,3,0,17,10,4,16,9,7
2/11/2016,13,8,16,2,15,17,5,10
3/11/2016,20,20,18,14,9,4,6,7
4/11/2016,5,3,11,14,4,18,0,19
5/11/2016,11,19,7,0,18,11,0,0
6/11/2016,12,18,12,0,9,16,10,5
7/11/2016,5,5,18,6,18,19,7,5
8/11/2016,16,7,12,3,19,12,1,17
9/11/2016,13,4,3,5,16,18,10,18
10/11/2016,1,5,20,17,10,20,20,2
11/11/2016,3,10,18,19,10,5,3,10
12/11/2016,17,10,6,6,3,16,2,13
13/11/2016,9,11,3,4,18,12,1,7
14/11/2016,18,13,10,2,5,13,11,18
15/11/2016,18,14,11,14,5,16,15,18
16/11/2016,2,1,20,8,4,20,10,10
17/11/2016,17,2,3,5,20,2,5,10
18/11/2016,5,13,15,10,8,15,12,13
19/11/2016,20,4,0,7,6,19,2,3
20/11/2016,6,15,16,9,6,10,15,0
21/11/2016,10,13,20,9,2,9,9,9
22/11/2016,19,11,12,7,1,5,11,17
23/11/2016,17,15,8,11,9,12,18,18
24/11/2016,15,18,16,18,1,18,7,1
25/11/2016,12,8,15,17,13,9,0,2
26/11/2016,18,12,20,12,7,12,15,4
27/11/2016,3,18,20,20,14,20,8,8
28/11/2016,4,16,10,20,15,11,12,1
29/11/2016,8,14,17,13,12,14,0,3
30/11/2016,3,8,20,5,1,19,12,1
1/12/2016,4,15,20,10,14,8,1,6
2/12/2016,17,16,13,15,20,0,10,12
3/12/2016,16,8,17,12,17,12,5,8
4/12/2016,10,7,19,7,12,5,6,17
5/12/2016,4,11,4,8,3,18,17,1
6/12/2016,16,20,9,13,9,14,4,20
7/12/2016,7,4,17,5,2,6,5,19
8/12/2016,14,13,1,3,7,20,17,14
9/12/2016,10,2,18,0,1,6,11,15
10/12/2016,18,10,20,14,8,10,14,18
11/12/2016,0,0,2,18,4,14,1,15
12/12/2016,5,8,9,12,8,20,1,11
13/12/2016,6,15,0,13,5,0,16,3
14/12/2016,4,13,13,3,7,6,20,13
15/12/2016,18,10,20,7,6,10,12,3
16/12/2016,3,8,14,11,10,7,11,13
17/12/2016,19,2,6,1,8,3,17,8
18/12/2016,2,3,5,13,11,20,0,14
19/12/2016,2,1,12,0,18,7,2,13
20/12/2016,2,3,1,13,8,3,13,2
21/12/2016,10,20,14,19,9,9,1,15
22/12/2016,19,20,11,2,10,14,6,12
23/12/2016,5,15,17,2,17,16,11,12
24/12/2016,3,1,9,6,3,17,1,8
25/12/2016,8,19,11,0,15,13,12,4
26/12/2016,4,20,11,13,2,18,15,16
27/12/2016,18,0,19,0,10,15,1,11
28/12/2016,9,6,20,0,14,15,12,1
29/12/2016,3,9,1,11,15,0,11,4
30/12/2016,1,5,15,19,3,17,13,20
31/12/2016,19,5,17,12,11,20,2,19
1/1/2017,7,18,0,4,6,7,10,11
2/1/2017,18,4,4,20,19,17,20,14
3/1/2017,3,16,13,13,17,9,17,13
4/1/2017,9,10,14,12,1,20,12,7
5/1/2017,14,14,13,15,0,11,16,12
6/1/2017,0,1,4,19,2,15,13,17
7/1/2017,9,3,7,7,14,13,0,6
8/1/2017,19,2,2,8,8,19,4,4
9/1/2017,0,10,16,6,10,19,8,12
10/1/2017,20,18,0,11,20,7,17,11
11/1/2017,3,1,20,6,3,13,17,4
12/1/2017,14,4,9,8,15,3,8,4
13/1/2017,5,2,12,14,10,0,1,20
14/1/2017,5,14,16,7,13,6,7,5
15/1/2017,2,12,4,5,10,10,5,16
16/1/2017,19,13,3,9,20,3,3,1
17/1/2017,13,3,3,4,16,3,17,3
18/1/2017,1,11,15,15,7,19,16,8
19/1/2017,19,6,10,10,7,16,14,1
