Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
7/6/2016,3,35,37,220,0
8/6/2016,1,35,63,345,0
9/6/2016,7,40,13,276,0
10/6/2016,9,32,55,276,0
11/6/2016,3,38,83,231,0
12/6/2016,10,36,87,336,0
13/06/2016,1,32,56,260,0
14/06/2016,1,31,10,295,0
15/06/2016,1,31,66,35,0
16/06/2016,2,34,20,52,0
17/06/2016,8,32,53,36,1
18/06/2016,7,39,90,300,0
19/06/2016,4,40,65,335,0
20/06/2016,2,37,44,312,0
21/06/2016,1,31,13,312,0
22/06/2016,8,32,59,308,0
23/06/2016,9,33,51,208,0
24/06/2016,5,37,51,228,0
25/06/2016,7,35,5,202,0
26/06/2016,10,31,67,289,0
27/06/2016,2,37,71,279,0
28/06/2016,3,38,75,291,0
29/06/2016,3,35,99,289,0
30/06/2016,6,34,90,330,0
1/7/2016,5,34,27,328,0
2/7/2016,2,37,83,49,0
3/7/2016,1,33,39,47,0
4/7/2016,10,38,31,278,0
5/7/2016,4,40,44,283,0
6/7/2016,6,40,42,242,0
7/7/2016,5,39,99,221,0
8/7/2016,1,39,10,313,0
9/7/2016,8,38,76,303,0
10/7/2016,10,31,61,200,0
11/7/2016,2,36,11,227,0
12/7/2016,2,35,91,217,0
13/07/2016,5,31,73,332,0
14/07/2016,10,34,94,224,0
15/07/2016,10,35,43,282,0
16/07/2016,10,30,98,350,0
17/07/2016,3,31,40,6,0
18/07/2016,5,34,33,41,0
19/07/2016,6,37,3,340,0
20/07/2016,5,32,95,54,0
21/07/2016,6,34,88,335,0
22/07/2016,5,31,41,16,0
23/07/2016,10,40,94,333,0
24/07/2016,6,40,99,351,0
25/07/2016,10,36,1,218,0
26/07/2016,9,36,17,254,0
27/07/2016,4,33,41,212,0
28/07/2016,4,33,76,253,0
29/07/2016,9,31,5,300,0
30/07/2016,7,36,73,284,0
31/07/2016,4,34,29,347,0
1/8/2016,10,35,73,315,0
2/8/2016,3,34,98,306,0
3/8/2016,10,34,2,319,0
4/8/2016,5,36,36,344,0
5/8/2016,5,36,22,316,0
6/8/2016,9,38,20,209,0
7/8/2016,10,35,94,321,0
8/8/2016,10,37,2,296,0
9/8/2016,8,32,17,290,0
10/8/2016,3,33,9,239,0
