DateTime,CloudCoverage,Temperature,WindSpeed,WindDirection,Rainfall,Price
2013/07/01 00:00:00,10,25.3,5.83,90,5,2
2013/07/02 00:00:00,10,25.3,5.83,90,4,3
2013/07/03 00:00:00,10,25.3,5.83,90,3,3
2013/07/04 00:00:00,10,25.3,5.83,90,2,3
2013/07/05 00:00:00,10,25.3,5.83,90,1,3
2013/07/06 00:00:00,10,25.3,5.83,90,0,3
2013/07/07 00:00:00,10,25.3,5.83,90,0,3
2013/07/08 00:00:00,10,25.3,5.83,90,0,3
2013/07/09 00:00:00,10,25.3,5.83,90,0,3
2013/07/10 00:00:00,10,25.3,5.83,90,1,3
2013/07/11 00:00:00,10,25.3,5.83,90,1,3
2013/07/12 00:00:00,10,25.3,5.83,90,1,3
2013/07/13 00:00:00,10,25.3,5.83,90,1,3
2013/07/14 00:00:00,10,25.3,5.83,90,1,3
2013/07/15 00:00:00,10,25.3,5.83,90,1,3
2013/07/16 00:00:00,10,25.3,5.83,90,1,3
2013/07/17 00:00:00,10,25.3,5.83,90,1,3
2013/07/18 00:00:00,10,25.3,5.83,90,1,3
2013/07/19 00:00:00,10,25.3,5.83,90,1,3
2013/07/20 00:00:00,10,25.3,5.83,90,1,3
2013/07/21 00:00:00,10,25.3,5.83,90,1,3
2013/07/22 00:00:00,10,25.3,5.83,90,1,3
2013/07/23 00:00:00,10,25.3,5.83,90,1,3
2013/07/24 00:00:00,10,25.3,5.83,90,1,3
2013/07/25 00:00:00,10,25.3,5.83,90,1,3
2013/07/26 00:00:00,10,25.3,5.83,90,1,3
2013/07/27 00:00:00,10,25.3,5.83,90,1,3
2013/07/28 00:00:00,10,25.3,5.83,90,1,3
2013/07/29 00:00:00,10,25.3,5.83,90,1,3
2013/07/30 00:00:00,10,25.3,5.83,90,1,3
2018/5/21 00:00:00,10,25.3,5.83,90,1,3
2018/5/22 00:00:00,10,25.3,5.83,90,1,7
