Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
7/6/2016,2,29,12,28,3
8/6/2016,25,26,21,10,18
9/6/2016,13,20,25,27,11
10/6/2016,8,28,10,27,3
11/6/2016,22,5,17,4,11
12/6/2016,17,7,18,14,6
13/06/2016,5,25,26,3,11
14/06/2016,5,1,24,29,9
15/06/2016,6,2,27,17,22
16/06/2016,16,9,19,15,7
17/06/2016,29,23,1,9,24
18/06/2016,15,14,16,21,28
19/06/2016,24,26,17,18,29
20/06/2016,13,19,19,22,27
21/06/2016,11,9,19,7,15
22/06/2016,14,10,10,18,17
23/06/2016,21,14,2,13,28
24/06/2016,30,18,10,9,29
25/06/2016,29,28,11,6,12
26/06/2016,26,27,24,29,27
27/06/2016,16,23,1,8,26
28/06/2016,20,8,24,15,15
29/06/2016,29,20,12,10,16
30/06/2016,13,28,1,28,17
1/7/2016,22,6,15,5,13
2/7/2016,3,14,22,21,28
3/7/2016,25,8,11,7,16
4/7/2016,4,14,30,22,8
5/7/2016,16,7,23,17,17
6/7/2016,10,20,18,23,17
7/7/2016,10,9,29,28,13
8/7/2016,18,25,9,7,5
9/7/2016,3,26,12,28,18
10/7/2016,27,15,17,25,26
11/7/2016,11,26,14,19,28
12/7/2016,19,5,10,23,19
13/07/2016,20,5,25,8,18
14/07/2016,19,25,7,1,8
15/07/2016,5,15,12,20,27
16/07/2016,28,6,8,6,1
17/07/2016,23,22,1,26,3
18/07/2016,27,23,7,24,3
19/07/2016,24,26,13,1,2
20/07/2016,6,24,9,4,8
21/07/2016,27,4,30,8,15
22/07/2016,13,3,13,12,14
23/07/2016,7,30,14,9,10
24/07/2016,11,6,28,10,1
25/07/2016,6,14,22,5,4
26/07/2016,12,13,3,25,21
27/07/2016,28,28,26,8,9
28/07/2016,8,17,16,22,2
29/07/2016,14,21,23,27,8
30/07/2016,3,5,19,4,26
31/07/2016,3,28,18,3,17
1/8/2016,17,13,17,29,1
2/8/2016,27,28,22,6,3
3/8/2016,26,14,5,25,26
4/8/2016,21,4,19,5,30
5/8/2016,14,12,20,12,17
6/8/2016,12,23,28,18,9
7/8/2016,3,29,12,26,8
8/8/2016,6,10,1,2,1
9/8/2016,25,6,20,19,24
10/8/2016,19,19,17,13,12
11/8/2016,28,14,27,18,18
12/8/2016,9,5,11,3,20
13/08/2016,19,17,6,24,5
14/08/2016,17,15,15,24,19
15/08/2016,16,16,12,14,9
16/08/2016,5,6,13,3,10
17/08/2016,5,19,10,12,13
18/08/2016,14,17,27,16,29
19/08/2016,21,23,19,29,23
20/08/2016,27,28,15,18,1
21/08/2016,10,29,20,29,25
22/08/2016,4,5,9,5,19
23/08/2016,20,4,13,30,16
