Date,Cloud Coverage,Average Temperature,Wind Speed,Wind Direction,Rainfall
7/6/2015,54.8,19.5,9.79,225,0
8/6/2015,79.6,18.2,6.55,315,0.7
9/6/2015,28,19.3,7.96,315,0
10/6/2015,22.5,19.1,8.03,270,0
11/6/2015,13.5,19.7,7.06,315,0
12/6/2015,22.9,20.5,6.16,270,0
13/06/2015,34.1,21.5,9.29,225,0
14/06/2015,34.3,20.9,7.85,315,0
15/06/2015,65.5,20.3,11.92,225,0
16/06/2015,68.3,21.9,14.72,180,0
17/06/2015,86,22.8,5.87,180,0
18/06/2015,66.4,20.8,5.62,315,0
19/06/2015,29.4,19.4,7.2,315,0
20/06/2015,14.6,19.3,5.9,90,0
21/06/2015,88.3,18.4,9.22,270,1.4
22/06/2015,14.9,17,6.16,315,0
23/06/2015,83.2,20.2,11.02,270,0
24/06/2015,40.9,19.9,9,270,0
25/06/2015,91.3,20,11.16,225,0
26/06/2015,89.3,20.1,5.47,315,1.2
27/06/2015,87.9,19.2,9.07,90,0
28/06/2015,74,17.9,8.42,45,0
29/06/2015,15.3,18.3,5.98,315,0
30/06/2015,8.7,20.8,9.04,225,0
1/7/2015,91.3,19,7.6,225,0.3
2/7/2015,10.2,16.9,6.52,315,0
3/7/2015,51.5,18.4,11.27,225,0.3
4/7/2015,50.5,18.9,5.72,270,0
5/7/2015,40.3,17.3,6.59,270,2.7
6/7/2015,39.4,16.3,7.6,90,0
7/7/2015,11.1,19,7.16,315,0
8/7/2015,41.5,18.4,6.19,315,0
9/7/2015,67.2,21.3,5.76,315,0
10/7/2015,53.5,21.1,13.25,225,0
11/7/2015,100,15.8,11.27,270,34.3
12/7/2015,99.6,16.3,4.61,180,2.3
13/07/2015,70,18.4,4.21,315,0.3
14/07/2015,91.3,18.1,5.51,180,0
15/07/2015,57.2,19.1,5.8,315,0
16/07/2015,39.1,19.1,6.12,315,0
17/07/2015,21.9,17.6,6.84,315,0
18/07/2015,27.1,18.4,5.69,315,0
19/07/2015,43.6,19.5,6.34,315,0
20/07/2015,87.1,16.8,7.88,225,0
21/07/2015,64.2,16.2,18.86,180,0
22/07/2015,51.8,17.2,12.82,225,0
23/07/2015,61.5,19.5,15.3,180,0
24/07/2015,90.1,18.7,15.01,180,0
25/07/2015,70,19.3,15.05,225,0
26/07/2015,70.7,20.4,5.83,225,0
27/07/2015,42,21.1,5.8,315,0
28/07/2015,32.6,21.4,5.4,315,0
29/07/2015,100,18.7,5.22,270,4.8
30/07/2015,90.2,17.7,9,45,0
31/07/2015,95,17,10.33,45,0
1/8/2015,87.8,15.9,8.03,45,0
2/8/2015,81.6,14.2,7.06,45,0
3/8/2015,10,15.2,6.91,45,0
4/8/2015,8.6,16.5,4.57,90,0
5/8/2015,9.4,18.2,4.46,90,0
6/8/2015,29.8,17.1,4.25,315,0
7/8/2015,70.6,16.9,8.86,225,1.4
8/8/2015,46.4,16.3,4.61,315,0.3
9/8/2015,65.4,15.6,6.73,180,0.9
10/8/2015,100,15,6.23,315,3.5
11/8/2015,63.1,16.6,16.31,225,3.1
12/8/2015,68.5,15.1,10.37,225,1.4
13/08/2015,99.7,17.6,17.75,225,0
14/08/2015,50.8,15.5,23.15,225,0
15/08/2015,71.6,13.8,5.51,225,0
16/08/2015,69.4,13.7,3.46,135,0
17/08/2015,9.6,13.8,3.74,45,0
18/08/2015,9.8,15.4,3.02,315,0
19/08/2015,71,15.1,3.96,315,0
20/08/2015,95,14.8,4.82,270,1
21/08/2015,74.2,15.8,3.82,315,0.3
22/08/2015,35.7,15.6,3.38,315,0
23/08/2015,26.4,17.5,3.17,315,0
24/08/2015,17,17.8,3.49,315,0
25/08/2015,11.7,16.7,3.82,315,0
26/08/2015,9.5,16.9,3.71,90,0
27/08/2015,22,16.9,4.64,-1,0
28/08/2015,19.7,12.8,3.74,315,0
29/08/2015,10.6,14.9,4.36,315,0
30/08/2015,54.4,12.8,4.18,315,0
31/08/2015,74,11.3,3.42,180,0
1/9/2015,48.1,19.4,18.43,180,15.5
2/9/2015,75,18.7,19.58,225,43.4
3/9/2015,90.3,15.1,9.54,270,4.2
4/9/2015,71.4,13.3,2.59,315,0
5/9/2015,19.6,12.6,3.13,315,0
6/9/2015,32.6,15.5,4,180,0
7/9/2015,82.3,17.5,7.38,135,2.4
8/9/2015,92.2,17.8,5.33,315,17.2
9/9/2015,80.2,15.8,10.94,45,1.2
10/9/2015,17.1,12.6,6.88,45,0
11/9/2015,9.9,11.8,3.82,90,0
12/9/2015,14.5,11.8,1.55,45,0
13/09/2015,43.9,13.8,2.23,45,0
14/09/2015,76.1,18.2,6.59,90,0.2
15/09/2015,94.6,15.7,1.87,-1,1.9
16/09/2015,100,14.6,6.84,315,30.3
17/09/2015,25.7,15.4,14.58,45,0
18/09/2015,14.3,12.3,4.43,90,0
19/09/2015,10.3,11.4,2.77,315,0
20/09/2015,31.6,15,5.44,180,0
21/09/2015,94.8,15.3,4.97,315,0.5
22/09/2015,46.6,15.7,5.08,180,0
23/09/2015,87.4,15,8.46,180,7.2
24/09/2015,78.8,11.2,9.76,180,3.5
25/09/2015,85.8,13.7,12.64,180,0.8
26/09/2015,63.1,17.7,15.08,180,4.4
27/09/2015,48.8,18.4,16.09,180,0
28/09/2015,59.5,16.8,9,180,0
29/09/2015,13.3,13.3,3.67,315,0
30/09/2015,49.1,14.5,2.66,135,0
1/10/2015,90.7,15.3,8.5,180,1.2
2/10/2015,85.5,16.8,11.05,180,0
3/10/2015,74.6,18.1,13.9,180,0.8
4/10/2015,90.3,18.7,11.56,180,0
