Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
6/7/2016,2,5,19,6,18,8,13,20
7/7/2016,26,6,3,26,15,14,11,12
8/7/2016,28,24,27,23,25,23,30,17
9/7/2016,6,19,8,16,20,27,24,2
10/7/2016,8,8,4,5,12,26,27,16
11/7/2016,13,11,9,16,16,25,8,9
12/7/2016,7,14,15,26,24,30,8,13
13/7/2016,17,29,5,25,12,26,30,21
14/7/2016,23,23,23,2,7,26,2,29
15/7/2016,13,29,3,13,7,27,12,22
16/7/2016,6,27,27,21,17,11,4,29
17/7/2016,11,11,11,26,25,26,30,23
18/7/2016,27,10,15,26,10,13,27,3
19/7/2016,27,9,10,4,18,7,11,15
20/7/2016,21,12,19,4,6,5,13,19
21/7/2016,1,3,30,11,14,20,28,30
22/7/2016,21,10,7,26,17,28,6,4
23/7/2016,15,26,4,15,28,17,6,22
24/7/2016,22,9,2,14,20,7,5,6
25/7/2016,10,5,9,25,8,19,24,2
26/7/2016,21,11,10,27,30,14,27,19
27/7/2016,3,30,9,28,13,6,25,16
28/7/2016,23,15,3,1,8,13,30,3
29/7/2016,4,24,16,21,15,2,18,28
30/7/2016,2,27,2,18,15,20,8,13
31/7/2016,16,9,26,7,12,11,20,7
1/8/2016,8,27,6,23,1,11,7,3
2/8/2016,28,20,8,11,30,8,30,17
3/8/2016,29,18,22,29,25,19,24,30
4/8/2016,5,21,7,23,3,2,24,22
5/8/2016,17,21,18,27,13,4,18,23
6/8/2016,6,6,24,17,3,13,25,7
7/8/2016,20,16,3,15,25,11,18,5
8/8/2016,8,15,25,4,17,18,15,24
9/8/2016,29,26,22,3,15,21,2,27
10/8/2016,3,8,29,28,29,23,15,18
11/8/2016,19,8,28,26,18,15,23,25
12/8/2016,20,5,26,26,13,5,7,26
13/8/2016,1,29,6,17,24,4,9,19
14/8/2016,3,25,23,1,28,3,1,3
15/8/2016,27,28,28,27,20,24,30,10
16/8/2016,1,15,28,12,18,13,28,7
17/8/2016,18,17,8,8,17,14,27,26
18/8/2016,22,7,6,27,11,16,23,10
19/8/2016,22,1,9,22,4,27,24,12
20/8/2016,25,16,10,17,4,26,29,5
21/8/2016,26,13,30,12,29,24,30,21
22/8/2016,10,24,10,26,8,13,21,2
23/8/2016,14,13,6,30,10,4,20,7
24/8/2016,1,10,26,20,16,13,11,11
25/8/2016,4,19,10,29,29,10,15,14
26/8/2016,18,27,30,10,20,14,15,13
27/8/2016,3,9,29,8,22,6,15,26
28/8/2016,3,14,9,26,4,12,20,2
29/8/2016,24,28,13,18,14,9,30,10
30/8/2016,29,28,23,27,15,3,30,27
31/8/2016,19,12,9,25,16,9,30,11
1/9/2016,27,16,3,15,20,29,30,25
2/9/2016,26,5,6,6,11,10,4,18
3/9/2016,19,1,6,20,16,2,9,17
4/9/2016,21,13,17,12,29,26,1,27
5/9/2016,25,3,3,9,24,11,20,1
6/9/2016,28,3,12,12,4,3,16,6
7/9/2016,24,29,13,23,16,28,4,30
8/9/2016,18,18,5,5,6,16,19,20
9/9/2016,13,8,6,15,6,21,4,20
10/9/2016,30,20,14,4,13,30,28,6
11/9/2016,29,16,25,3,30,30,11,7
12/9/2016,9,16,6,20,9,2,1,22
13/9/2016,9,20,14,13,2,9,1,6
14/9/2016,6,14,10,3,25,23,13,21
15/9/2016,4,12,16,15,6,24,13,24
16/9/2016,20,5,1,23,23,7,17,6
17/9/2016,13,17,18,27,22,27,16,25
18/9/2016,17,27,24,15,9,21,24,10
19/9/2016,23,24,19,16,15,1,19,12
20/9/2016,14,8,6,20,15,3,17,13
21/9/2016,9,23,10,13,7,7,21,23
22/9/2016,12,30,4,24,2,15,11,18
23/9/2016,29,20,9,6,1,10,25,1
24/9/2016,4,19,30,2,18,17,12,22
25/9/2016,17,21,14,13,6,22,18,30
26/9/2016,8,22,12,24,21,8,12,6
27/9/2016,11,18,24,12,14,10,1,11
28/9/2016,27,23,29,12,5,2,24,8
29/9/2016,18,3,17,7,3,15,15,15
30/9/2016,26,26,27,14,15,10,13,22
1/10/2016,22,2,8,28,11,16,6,23
2/10/2016,16,3,27,18,10,1,5,6
3/10/2016,6,26,27,10,19,21,13,10
4/10/2016,6,23,18,15,30,6,29,20
5/10/2016,26,23,28,30,2,5,26,19
6/10/2016,28,29,20,25,27,23,16,29
7/10/2016,1,17,13,3,23,30,21,10
8/10/2016,9,28,22,4,12,9,2,22
9/10/2016,22,27,13,13,15,21,26,12
10/10/2016,2,28,26,26,16,18,24,16
11/10/2016,15,3,27,29,6,19,6,4
12/10/2016,16,1,28,28,4,26,7,10
13/10/2016,21,4,7,27,24,7,27,18
14/10/2016,25,19,18,21,7,11,1,20
15/10/2016,17,5,3,13,3,19,2,18
16/10/2016,11,26,29,2,22,24,10,15
17/10/2016,20,19,2,8,24,2,5,23
18/10/2016,14,21,17,20,18,26,11,9
19/10/2016,21,6,2,21,17,8,4,21
20/10/2016,16,15,7,23,18,20,16,2
21/10/2016,8,13,1,12,26,10,13,2
22/10/2016,26,27,3,9,9,27,16,2
23/10/2016,13,8,8,1,28,6,29,29
24/10/2016,15,23,2,18,17,30,14,24
25/10/2016,1,6,20,18,18,23,1,1
26/10/2016,3,28,29,2,19,8,29,22
27/10/2016,9,20,8,8,19,16,13,24
28/10/2016,24,23,20,22,1,23,14,18
29/10/2016,23,17,21,29,27,23,21,30
30/10/2016,21,28,26,6,15,2,2,23
31/10/2016,8,16,27,30,12,27,17,26
1/11/2016,22,16,21,10,15,1,29,10
2/11/2016,27,10,24,4,1,28,5,19
3/11/2016,10,6,19,21,12,8,22,3
4/11/2016,7,1,23,20,6,21,14,13
5/11/2016,2,19,24,9,28,9,3,22
6/11/2016,1,22,21,24,19,23,23,30
7/11/2016,13,21,26,5,7,30,3,28
8/11/2016,15,11,28,16,28,19,12,21
9/11/2016,23,16,15,20,26,28,5,1
10/11/2016,7,19,16,23,24,26,29,3
11/11/2016,18,9,10,30,28,15,1,16
12/11/2016,30,10,28,11,7,29,17,10
13/11/2016,21,26,15,24,27,3,15,30
14/11/2016,3,4,19,5,12,6,4,28
15/11/2016,1,13,17,29,13,23,11,19
16/11/2016,4,24,23,25,3,25,6,24
17/11/2016,1,24,7,30,23,11,16,25
18/11/2016,30,9,15,30,28,5,16,17
19/11/2016,2,18,15,26,18,28,28,17
20/11/2016,22,22,19,16,9,7,5,28
21/11/2016,24,18,6,29,13,10,9,24
22/11/2016,4,5,11,17,19,14,17,13
23/11/2016,24,16,8,18,6,14,29,26
24/11/2016,8,20,13,3,12,23,11,21
25/11/2016,11,4,28,24,22,1,13,12
26/11/2016,12,4,1,29,28,4,9,7
27/11/2016,18,7,4,3,8,11,5,16
28/11/2016,11,23,11,18,13,10,13,21
29/11/2016,30,21,26,13,15,19,11,19
30/11/2016,28,6,30,25,20,23,28,6
1/12/2016,10,17,26,25,2,15,26,24
2/12/2016,3,13,16,17,7,16,27,26
3/12/2016,5,22,3,26,17,2,10,26
4/12/2016,26,14,25,29,8,6,17,28
5/12/2016,14,16,11,27,16,10,29,9
6/12/2016,30,19,4,14,30,2,10,14
7/12/2016,15,29,29,5,16,15,25,3
8/12/2016,10,27,5,30,26,26,20,3
9/12/2016,17,22,30,26,27,25,8,11
10/12/2016,20,3,10,25,4,16,13,13
11/12/2016,30,20,18,29,18,20,5,15
12/12/2016,6,30,19,10,17,23,16,23
13/12/2016,5,12,27,29,9,30,18,7
14/12/2016,15,4,28,22,17,27,7,30
15/12/2016,29,9,25,10,25,10,29,6
16/12/2016,10,26,13,19,18,15,27,9
17/12/2016,16,18,20,10,12,3,19,18
18/12/2016,24,19,1,28,17,3,10,4
19/12/2016,30,9,28,21,4,3,9,16
20/12/2016,20,17,27,9,13,3,2,4
21/12/2016,23,7,9,7,12,22,14,23
22/12/2016,18,19,6,2,8,10,10,17
23/12/2016,10,13,19,11,17,22,20,26
24/12/2016,21,28,30,24,19,12,12,11
25/12/2016,29,16,29,10,18,20,19,6
26/12/2016,18,8,13,4,30,15,18,18
27/12/2016,15,5,5,5,15,9,29,20
28/12/2016,9,12,30,10,20,22,21,10
29/12/2016,23,14,10,7,30,27,9,20
30/12/2016,23,4,24,18,6,30,11,28
31/12/2016,19,29,18,17,19,25,14,14
1/1/2017,12,9,24,8,16,4,7,11
2/1/2017,3,16,24,30,11,15,10,6
3/1/2017,13,21,4,4,23,19,8,7
4/1/2017,24,10,17,12,9,1,25,28
5/1/2017,7,24,17,7,3,13,4,30
6/1/2017,14,2,11,30,6,9,23,30
7/1/2017,13,28,26,1,19,8,26,20
8/1/2017,12,20,21,8,26,29,1,13
9/1/2017,15,14,14,7,24,2,6,27
10/1/2017,16,28,4,30,17,21,10,16
11/1/2017,7,2,15,26,27,17,1,24
12/1/2017,7,22,25,29,20,7,15,2
13/1/2017,17,28,21,4,22,16,19,16
14/1/2017,28,3,2,7,7,5,20,28
15/1/2017,26,25,24,4,24,19,15,25
16/1/2017,9,19,18,17,27,16,13,30
17/1/2017,26,20,28,21,5,15,16,2
18/1/2017,5,12,1,2,22,6,19,24
19/1/2017,22,5,15,18,14,13,19,3
20/1/2017,24,9,14,13,10,4,1,27
21/1/2017,8,25,7,16,10,29,11,28
22/1/2017,1,18,17,21,22,20,20,8
23/1/2017,19,7,15,28,6,4,30,19
24/1/2017,6,1,4,21,26,8,14,26
25/1/2017,17,3,30,7,14,10,27,9
26/1/2017,7,5,2,22,9,3,16,13
27/1/2017,23,30,10,25,23,17,21,19
28/1/2017,14,3,28,29,13,13,1,24
29/1/2017,15,5,22,3,28,3,16,5
30/1/2017,29,1,23,12,7,1,1,26
31/1/2017,21,4,11,15,25,28,3,2
1/2/2017,14,26,9,14,24,27,27,23
2/2/2017,1,24,8,27,25,2,1,12
3/2/2017,21,26,29,26,9,27,7,28
4/2/2017,25,3,10,3,20,2,26,23
5/2/2017,5,3,9,11,6,1,8,6
6/2/2017,21,1,27,7,4,25,10,4
7/2/2017,19,12,8,25,27,19,2,1
8/2/2017,7,21,15,26,25,12,27,21
9/2/2017,2,2,8,3,18,4,7,17
10/2/2017,22,6,17,20,1,3,14,28
11/2/2017,1,24,30,24,12,5,26,25
12/2/2017,3,18,30,18,2,26,16,23
13/2/2017,16,19,18,30,7,19,2,11
14/2/2017,11,29,1,25,11,3,7,2
15/2/2017,26,11,10,9,27,24,24,17
16/2/2017,18,9,12,24,3,16,9,18
17/2/2017,9,3,18,2,24,19,16,27
18/2/2017,27,19,19,28,7,9,1,19
19/2/2017,13,17,23,17,30,8,20,26
20/2/2017,5,11,9,20,27,28,13,22
21/2/2017,23,15,9,2,4,8,6,21
22/2/2017,8,4,13,9,23,26,25,23
23/2/2017,30,25,28,22,16,11,18,27
24/2/2017,7,2,1,1,5,26,8,8
25/2/2017,5,19,30,19,17,24,28,14
26/2/2017,20,19,17,6,15,23,10,4
27/2/2017,27,19,25,28,1,26,10,28
28/2/2017,17,6,30,11,21,16,4,11
1/3/2017,14,5,7,25,20,22,9,8
2/3/2017,7,9,3,24,13,14,18,24
3/3/2017,15,24,22,10,20,21,15,1
4/3/2017,2,10,22,21,28,17,21,13
5/3/2017,13,10,20,3,29,2,4,17
6/3/2017,5,26,28,18,11,19,5,30
7/3/2017,22,17,12,20,15,14,30,14
8/3/2017,18,22,5,10,7,16,1,3
9/3/2017,12,26,12,9,7,19,27,10
10/3/2017,19,10,10,8,10,2,21,15
11/3/2017,9,8,5,27,5,14,22,21
12/3/2017,10,12,10,14,19,20,2,10
13/3/2017,10,22,6,26,21,2,8,24
14/3/2017,6,2,16,4,11,21,10,9
15/3/2017,27,2,25,13,10,24,22,30
16/3/2017,6,11,19,26,7,12,9,26
17/3/2017,30,8,10,14,19,27,22,4
18/3/2017,3,1,18,20,26,29,1,11
19/3/2017,10,24,28,21,6,28,22,8
20/3/2017,3,3,17,20,10,6,8,21
21/3/2017,26,2,3,19,6,28,20,24
22/3/2017,29,27,2,9,5,1,18,20
23/3/2017,24,8,25,28,20,18,4,16
24/3/2017,29,11,21,26,4,20,16,21
