Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
6/7/2016,2,1.8,1.25,13.25,17.25,49.25,16.25,4.25
7/7/2016,4.8,4.6,-0.75,8.25,8.25,54.25,12.25,4.25
8/7/2016,1,0.8,-0.75,6.25,6.25,57.25,10.25,4.25
9/7/2016,0.3,0.1,0.25,8.25,9.25,55.25,10.25,4.25
10/7/2016,4.4,4.2,0.25,8.25,10.25,51.25,10.25,4.25
11/7/2016,5,4.8,7.25,16.25,27.25,42.25,10.25,4.25
12/7/2016,4.7,4.5,16.25,29.25,56.25,33.25,10.25,5.25
13/7/2016,3.4,3.2,7.25,22.25,36.25,38.25,10.25,5.25
14/7/2016,2,1.8,16.25,25.25,52.25,32.25,8.25,5.25
15/7/2016,0.2,0,12.25,24.25,45.25,34.25,7.25,5.25
16/7/2016,1.9,1.7,12.25,22.25,44.25,34.25,10.25,5.25
17/7/2016,3.7,3.5,15.25,25.25,51.25,37.25,10.25,5.25
18/7/2016,0.9,0.7,6.25,19.25,31.25,43.25,6.25,4.25
19/7/2016,0.1,-0.1,12.25,22.25,43.25,42.25,3.25,4.25
20/7/2016,2.9,2.7,5.25,14.25,25.25,51.25,3.25,5.25
21/7/2016,2.7,2.5,7.25,12.25,25.25,50.25,8.25,5.25
22/7/2016,3.7,3.5,8.25,13.25,29.25,45.25,4.25,5.25
23/7/2016,1.1,0.9,7.25,14.25,28.25,50.25,2.25,4.25
24/7/2016,4.3,4.1,8.25,21.25,37.25,44.25,5.25,6.25
25/7/2016,2.7,2.5,9.25,28.25,45.25,41.25,15.25,5.25
26/7/2016,1.9,1.7,13.25,28.25,50.25,35.25,11.25,5.25
27/7/2016,4.2,4,12.25,28.25,50.25,30.25,9.25,5.25
28/7/2016,2,1.8,3.25,18.25,24.25,33.25,9.25,5.25
29/7/2016,0.2,0,3.25,18.25,25.25,36.25,11.25,5.25
30/7/2016,4.3,4.1,2.25,14.25,19.25,38.25,11.25,4.25
31/7/2016,4.2,4,0.25,9.25,12.25,42.25,9.25,5.25
1/8/2016,2.1,1.9,1.25,13.25,17.25,35.25,8.25,6.25
2/8/2016,0.3,0.1,0.25,27.25,28.25,16.25,10.25,7.25
3/8/2016,2.9,2.7,-0.75,29.25,30.25,13.25,10.25,9.25
4/8/2016,2.1,1.9,2.25,24.25,29.25,16.25,5.25,7.25
5/8/2016,2.9,2.7,3.25,24.25,31.25,13.25,4.25,14.25
6/8/2016,0.6,0.4,23.25,37.25,74.25,3.25,7.25,16.25
7/8/2016,3.3,3.1,14.25,27.25,51.25,15.25,6.25,14.25
8/8/2016,4.6,4.4,6.25,11.25,23.25,29.25,5.25,6.25
9/8/2016,1.8,1.6,7.25,11.25,25.25,31.25,3.25,5.25
10/8/2016,2.6,2.4,7.25,14.25,27.25,33.25,2.25,5.25
11/8/2016,1.5,1.3,6.25,10.25,22.25,34.25,3.25,5.25
12/8/2016,3.9,3.7,6.25,10.25,21.25,35.25,8.25,5.25
13/8/2016,2.9,2.7,5.25,9.25,19.25,32.25,7.25,5.25
14/8/2016,4.8,4.6,5.25,10.25,20.25,26.25,5.25,5.25
15/8/2016,2.7,2.5,5.25,10.25,22.25,27.25,3.25,5.25
16/8/2016,1.5,1.3,3.25,7.25,15.25,24.25,2.25,5.25
17/8/2016,3.1,2.9,3.25,6.25,13.25,24.25,3.25,5.25
18/8/2016,4.9,4.7,6.25,9.25,21.25,23.25,3.25,5.25
19/8/2016,0.2,0,10.25,11.25,28.25,20.25,3.25,5.25
20/8/2016,1.8,1.6,9.25,16.25,32.25,20.25,5.25,5.25
21/8/2016,2.9,2.7,0.25,11.25,13.25,21.25,6.25,6.25
22/8/2016,1.7,1.5,-0.75,19.25,20.25,11.25,6.25,8.25
23/8/2016,4.4,4.2,-0.75,10.25,9.25,22.25,2.25,5.25
24/8/2016,4.6,4.4,-0.75,8.25,6.25,21.25,2.25,5.25
25/8/2016,2.5,2.3,8.25,24.25,38.25,1.25,3.25,12.25
26/8/2016,4.9,4.7,6.25,26.25,39.25,0.25,2.25,13.25
27/8/2016,2.1,1.9,1.25,21.25,25.25,1.25,2.25,7.25
28/8/2016,0.3,0.1,18.25,24.25,54.25,-0.75,2.25,7.25
29/8/2016,4,3.8,37.25,30.25,89.25,-0.75,2.25,9.25
30/8/2016,2.9,2.7,42.25,29.25,97.25,1.25,2.25,8.25
31/8/2016,5,4.8,34.25,25.25,81.25,5.25,7.25,7.25
1/9/2016,3.7,3.5,23.25,23.25,61.25,10.25,6.25,7.25
2/9/2016,2.6,2.4,30.25,26.25,75.25,13.25,3.25,9.25
3/9/2016,4.9,4.7,19.25,23.25,54.25,28.25,8.25,7.25
4/9/2016,4.4,4.2,19.25,29.25,61.25,32.25,8.25,7.25
5/9/2016,3.5,3.3,17.25,24.25,53.25,36.25,8.25,8.25
6/9/2016,3.8,3.6,12.25,24.25,46.25,42.25,19.25,7.25
7/9/2016,1.3,1.1,14.25,24.25,48.25,43.25,8.25,6.25
8/9/2016,2.4,2.2,12.25,26.25,48.25,41.25,11.25,6.25
9/9/2016,2.5,2.3,14.25,26.25,50.25,35.25,9.25,6.25
10/9/2016,0.9,0.7,26.25,47.25,91.25,24.25,17.25,7.25
11/9/2016,1,0.8,11.25,42.25,62.25,22.25,16.25,7.25
12/9/2016,3.4,3.2,16.25,52.25,80.25,12.25,18.25,10.25
13/9/2016,2.3,2.1,64.25,72.25,174.25,-0.75,13.25,16.25
14/9/2016,0.1,-0.1,25.25,54.25,96.25,3.25,15.25,11.25
15/9/2016,4.7,4.5,0.25,33.25,35.25,8.25,12.25,10.25
16/9/2016,4.9,4.7,21.25,41.25,76.25,-0.75,9.25,12.25
17/9/2016,4.2,4,29.25,40.25,88.25,-0.75,-1.75,12.25
18/9/2016,0.4,0.2,30.25,39.25,88.25,-0.75,-1.75,10.25
19/9/2016,3.8,3.6,20.25,36.25,70.25,-0.75,-1.75,8.25
20/9/2016,3.8,3.6,7.25,32.25,46.25,2.25,-1.75,7.25
21/9/2016,4.4,4.2,4.25,25.25,34.25,9.25,-1.75,6.25
22/9/2016,1.7,1.5,12.25,32.25,52.25,7.25,-1.75,6.25
23/9/2016,5.1,4.9,48.25,45.25,123.25,4.25,-1.75,8.25
24/9/2016,1.7,1.5,56.25,50.25,139.25,7.25,-1.75,8.25
25/9/2016,1.5,1.3,60.25,59.25,155.25,10.25,-1.75,9.25
26/9/2016,5.1,4.9,37.25,49.25,109.25,17.25,-1.75,8.25
27/9/2016,2.5,2.3,15.25,35.25,61.25,35.25,-1.75,7.25
28/9/2016,1.5,1.3,-1.75,-1.75,-1.75,-1.75,-1.75,3.25
29/9/2016,2.3,2.1,-1.75,-1.75,-1.75,-1.75,-1.75,3.25
30/9/2016,3.7,3.5,2.25,27.25,33.25,93.25,-1.75,7.25
1/10/2016,3.7,3.5,11.25,43.25,62.25,87.25,-1.75,8.25
2/10/2016,0.1,-0.1,7.25,43.25,57.25,92.25,-1.75,8.25
3/10/2016,3.3,3.1,16.25,50.25,76.25,70.25,-1.75,7.25
4/10/2016,1.7,1.5,12.25,51.25,73.25,62.25,-1.75,8.25
5/10/2016,1.7,1.5,2.25,26.25,32.25,74.25,-1.75,7.25
6/10/2016,3.4,3.2,3.25,20.25,28.25,44.25,-1.75,6.25
7/10/2016,4.2,4,3.25,20.25,27.25,48.25,-1.75,6.25
8/10/2016,1.2,1,4.25,47.25,55.25,13.25,-1.75,9.25
9/10/2016,3.8,3.6,-0.75,30.25,31.25,32.25,-1.75,8.25
10/10/2016,4.1,3.9,-0.75,13.25,14.25,53.25,-1.75,7.25
11/10/2016,0.9,0.7,-0.75,9.25,8.25,54.25,3.25,10.25
12/10/2016,0.9,0.7,-0.75,9.25,9.25,50.25,4.25,15.25
13/10/2016,5,4.8,-0.75,8.25,6.25,51.25,3.25,9.25
14/10/2016,4.6,4.4,-0.75,8.25,7.25,49.25,3.25,10.25
