07/06/2016 00:00,0.13,3,15,19,51,18,10,1
07/07/2016 00:00,0.11,1,10,10,56,14,7,1
07/08/2016 00:00,0.1,1,8,8,59,12,8,1
07/09/2016 00:00,0.1,2,10,11,57,12,7,1
07/10/2016 00:00,0.11,2,10,12,53,12,11,1
07/11/2016 00:00,0.1,9,18,29,44,12,8,1
07/12/2016 00:00,0.13,18,31,58,35,12,8,2
07/13/2016 00:00,0.12,9,24,38,40,12,11,2
07/14/2016 00:00,0.15,18,27,54,34,10,9,2
07/15/2016 00:00,0.16,14,26,47,36,9,9,2
07/16/2016 00:00,0.16,14,24,46,36,12,11,2
07/17/2016 00:00,0.18,17,27,53,39,12,14,2
07/18/2016 00:00,0.17,8,21,33,45,8,15,1
07/19/2016 00:00,0.2,14,24,45,44,5,11,1
07/20/2016 00:00,0.14,7,16,27,53,5,8,2
07/21/2016 00:00,0.14,9,14,27,52,10,5,2
07/22/2016 00:00,0.15,10,15,31,47,6,8,2
07/23/2016 00:00,0.14,9,16,30,52,4,8,1
07/24/2016 00:00,0.17,10,23,39,46,7,6,3
07/25/2016 00:00,0.19,11,30,47,43,17,6,2
07/26/2016 00:00,0.2,15,30,52,37,13,9,2
07/27/2016 00:00,0.26,14,30,52,32,11,11,2
07/28/2016 00:00,0.18,5,20,26,35,11,13,2
07/29/2016 00:00,0.17,5,20,27,38,13,13,2
07/30/2016 00:00,0.15,4,16,21,40,13,9,1
07/31/2016 00:00,0.12,2,11,14,44,11,5,2
08/01/2016 00:00,0.13,3,15,19,37,10,11,3
08/02/2016 00:00,0.13,2,29,30,18,12,9,4
08/03/2016 00:00,0.11,1,31,32,15,12,11,6
08/04/2016 00:00,0.14,4,26,31,18,7,11,4
08/05/2016 00:00,0.12,5,26,33,15,6,9,11
08/06/2016 00:00,0.15,25,39,76,5,9,10,13
08/07/2016 00:00,0.14,16,29,53,17,8,9,11
08/08/2016 00:00,0.14,8,13,25,31,7,9,3
08/09/2016 00:00,0.14,9,13,27,33,5,6,2
08/10/2016 00:00,0.16,9,16,29,35,4,6,2
08/11/2016 00:00,0.16,8,12,24,36,5,10,2
08/12/2016 00:00,0.17,8,12,23,37,10,7,2
08/13/2016 00:00,0.14,7,11,21,34,9,6,2
08/14/2016 00:00,0.14,7,12,22,28,7,8,2
08/15/2016 00:00,0.13,7,12,24,29,5,5,2
08/16/2016 00:00,0.11,5,9,17,26,4,5,2
08/17/2016 00:00,0.13,5,8,15,26,5,7,2
08/18/2016 00:00,0.16,8,11,23,25,5,10,2
08/19/2016 00:00,0.18,12,13,30,22,5,8,2
08/20/2016 00:00,0.19,11,18,34,22,7,7,2
08/21/2016 00:00,0.12,2,13,15,23,8,8,3
08/22/2016 00:00,0.11,1,21,22,13,8,8,5
08/23/2016 00:00,0.12,1,12,11,24,4,8,2
08/24/2016 00:00,0.11,1,10,8,23,4,8,2
08/25/2016 00:00,0.1,10,26,40,3,5,5,9
08/26/2016 00:00,0.1,8,28,41,2,4,7,10
08/27/2016 00:00,0.11,3,23,27,3,4,8,4
08/28/2016 00:00,0.14,20,26,56,1,4,5,4
08/29/2016 00:00,0.22,39,32,91,1,4,6,6
08/30/2016 00:00,0.23,44,31,99,3,4,14,5
08/31/2016 00:00,0.22,36,27,83,7,9,10,4
09/01/2016 00:00,0.19,25,25,63,12,8,11,4
09/02/2016 00:00,0.25,32,28,77,15,5,11,6
09/03/2016 00:00,0.25,21,25,56,30,10,12,4
09/04/2016 00:00,0.3,21,31,63,34,10,19,4
09/05/2016 00:00,0.29,19,26,55,38,10,17,5
09/06/2016 00:00,0.26,14,26,48,44,21,25,4
09/07/2016 00:00,0.24,16,26,50,45,10,19,3
09/08/2016 00:00,0.2,14,28,50,43,13,16,3
09/09/2016 00:00,0.23,16,28,52,37,11,19,3
09/10/2016 00:00,0.32,28,49,93,26,19,17,4
09/11/2016 00:00,0.26,13,44,64,24,18,19,4
09/12/2016 00:00,0.3,18,54,82,14,20,29,7
09/13/2016 00:00,0.46,66,74,176,1,15,18,13
09/14/2016 00:00,0.29,27,56,98,5,17,27,8
09/15/2016 00:00,0.17,2,35,37,10,14,20,7
09/16/2016 00:00,0.17,23,43,78,1,11,14,9
09/17/2016 00:00,0.17,31,42,90,1,0,14,9
09/18/2016 00:00,0.18,32,41,90,1,0,12,7
09/19/2016 00:00,0.21,22,38,72,1,0,10,5
09/20/2016 00:00,0.2,9,34,48,4,0,16,4
09/21/2016 00:00,0.2,6,27,36,11,0,16,3
09/22/2016 00:00,0.23,14,34,54,9,0,13,3
09/23/2016 00:00,0.37,50,47,125,6,0,14,5
09/24/2016 00:00,0.37,58,52,141,9,0,23,5
09/25/2016 00:00,0.34,62,61,157,12,0,23,6
09/26/2016 00:00,0.29,39,51,111,19,0,13,5
09/27/2016 00:00,0.22,17,37,63,37,0,16,4
09/28/2016 00:00,0,0,0,0,0,0,0,0
09/29/2016 00:00,0,0,0,0,0,0,0,0
09/30/2016 00:00,0.24,4,29,35,95,0,0,4
10/01/2016 00:00,0.25,13,45,64,89,0,32,5
10/02/2016 00:00,0.24,9,45,59,94,0,27,5
10/03/2016 00:00,0.31,18,52,78,72,0,29,4
10/04/2016 00:00,0.34,14,53,75,64,0,22,5
10/05/2016 00:00,0.25,4,28,34,76,0,22,4
10/06/2016 00:00,0.26,5,22,30,46,0,25,3
10/07/2016 00:00,0.26,5,22,29,50,0,27,3
10/08/2016 00:00,0.26,6,49,57,15,0,26,6
10/09/2016 00:00,0.25,1,32,33,34,0,30,5
